TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3)
07.11.2015;374.41;392.82;371.07;383.53;26348.6;10103834.21;383.47;361.104;297.866;386.2533333
08.11.2015;383.62;390.47;366.18;372.65;27445.02;10459784;381.12;368.152;302.4533333;379.32
09.11.2015;372.86;386.79;360.54;377.9;25934.97;9765480.26;376.54;373.364;306.8423333;380.3766667
10.11.2015;378.02;381.44;323.63;336.8;48890.6;17451749;356.96;377.248;310.5013333;371.54
11.11.2015;335.02;341.41;294;309.91;51510.31;16138605.49;313.31;376.925;312.7186667;348.9366667
12.11.2015;309.95;344.78;308.42;337.17;37744.45;12327089.43;326.59;374.795;315.3936667;332.2866667
13.11.2015;337;342;325;336.99;24663.47;8239048.11;334.06;369.279;318.1736667;324.6533333
14.11.2015;336.98;356.1;325.45;333;25628.38;8596759.49;335.44;358.278;320.8623333;332.03
15.11.2015;332.95;334.99;314.6;319.28;27643.56;8952296.3;323.85;350.471;322.957;331.1166667
16.11.2015;319.29;332.25;315;330.83;22243.82;7220301.63;324.6;345.594;324.8253333;327.9633333
17.11.2015;330.82;350.44;329;336.08;27718.68;9324687.16;336.4;340.887;327.225;328.2833333
18.11.2015;336;337.89;330.28;335.65;27252.1;9115915.94;334.5;336.225;329.6316667;331.8333333
19.11.2015;335.68;336.48;324.92;326.02;26919.52;8937135.62;331.99;331.77;331.813;334.2966667
20.11.2015;326.51;327.73;310;322.04;21303.64;6794004.85;318.91;327.965;333.4883333;328.4666667
21.11.2015;322.04;328.94;318.52;326.5;5129.35;1666609.82;324.92;329.126;335.1916667;325.2733333
22.11.2015;326.5;326.6;320.13;324.2;4062.21;1312398.6;323.07;328.774;336.7133333;322.3
23.11.2015;324.2;326.09;320.39;323.48;5101.56;1649850.44;323.4;327.708;338.155;323.7966667
24.11.2015;323.48;323.5;317;319.7;8649.02;2774792.55;320.82;326.246;339.2056667;322.43
25.11.2015;319.7;330.84;316;328.9;12253.76;3964830.34;323.56;326.217;340.5316667;322.5933333
26.11.2015;328.9;369.7;328.53;353.21;35986.16;12574100.16;349.41;328.698;342.4106667;331.2633333
27.11.2015;353.9;364.8;347.84;357.14;13276.83;4753695.23;358.04;330.862;344.2843333;343.67
28.11.2015;357.42;359.44;350.41;356.95;6275.37;2225597.7;354.66;332.878;345.7516667;354.0366667
29.11.2015;356.78;373.15;354.45;371.48;7817.18;2854062.8;365.1;336.189;347.1076667;359.2666667
30.11.2015;371.2;383;367.11;376.71;18097.95;6809125.6;376.24;341.922;349.045;365.3333333
01.12.2015;376.7;379;354.56;363.06;15410.28;5617537.15;364.53;345.883;350.6446667;368.6233333
02.12.2015;362.7;362.84;348.64;358.89;12343.41;4390062.73;355.66;349.142;350.9036667;365.4766667
03.12.2015;359.11;370.53;356.21;361.42;12190.88;4423950.84;362.89;353.091;350.026;361.0266667
04.12.2015;361.48;364.3;355.92;363.62;9989.28;3596927.2;360.08;357.017;347.1803333;359.5433333
05.12.2015;363.62;389.89;363;388;16784.13;6338715.4;377.66;362.427;346.3716667;366.8766667
06.12.2015;388;399.85;383;388.24;14679.44;5754540.49;392.01;366.687;346.993;376.5833333
07.12.2015;388.54;399.91;381.01;395.57;14949.59;5868357.22;392.54;370.137;347.2953333;387.4033333
08.12.2015;395.57;418.87;388.33;417.89;11455.14;4567280.01;398.71;374.542;347.8816667;394.42
09.12.2015;416.67;424.95;400;416.98;21039.91;8726381.89;414.75;379.507;349.1553333;402
10.12.2015;416.69;419.79;408.91;415.57;8463.88;3514699.25;415.26;383.409;351.0986667;409.5733333
11.12.2015;415.57;454.48;415.13;453.04;29020.2;12715568.6;438.16;390.772;355.2603333;422.7233333
12.12.2015;453.12;467.8;403;436.19;29770.28;12875519.54;432.5;398.456;358.7906667;428.64
13.12.2015;436.08;442.97;422.03;433.07;11725.67;5101509.33;435.07;405.674;362.1576667;435.2433333
14.12.2015;433.13;448.12;428.42;443.36;13386.74;5908604.6;441.38;413.804;365.689;436.3166667
15.12.2015;443.3;464.99;442.94;464.53;18096.39;8237602.55;455.21;421.559;370.0676667;443.8866667
16.12.2015;464.53;465;436.89;455.87;23377.12;10627485.43;454.61;427.819;374.4013333;450.4
17.12.2015;455.61;458.84;448.75;456.17;6598.64;3000514.42;454.72;434.037;378.3453333;454.8466667
18.12.2015;455.37;466.64;453.5;462.46;12914.74;5937708.34;459.76;440.142;382.5206667;456.3633333
19.12.2015;463.7;465.9;452.03;461.8;6839.18;3156242.38;461.49;444.816;386.8373333;458.6566667
20.12.2015;461.89;462;433.83;442.54;16626.49;7430072.73;446.88;447.978;391.103;456.0433333
21.12.2015;442.47;450;425.52;438.07;18930.86;8257540.79;436.19;447.781;394.812;448.1866667
22.12.2015;438.14;443.58;433.06;435.48;8146.02;3563201.25;437.42;448.273;398.6236667;440.1633333
23.12.2015;435.65;445.52;434.43;442.56;7100.23;3125137.43;440.15;448.781;402.5153333;437.92
24.12.2015;443.01;459.54;443.01;455;10138.32;4598655.92;453.59;450.002;406.941;443.72
25.12.2015;455.78;458.33;448;455.51;2877.17;1304947.59;453.55;449.836;411.274;449.0966667
26.12.2015;455.5;457.45;407.25;417.39;26672.12;11386692.92;426.91;447.066;413.8573333;444.6833333
27.12.2015;417.11;425.42;410.5;421.76;6968.57;2921475.22;419.24;443.518;415.8973333;433.2333333
28.12.2015;421.78;429.86;417.01;421.46;7560.56;3204101.79;423.79;439.921;418.2016667;423.3133333
29.12.2015;420.81;433.33;418.55;431.82;10419.59;4444308.02;426.53;436.425;420.2493333;423.1866667
30.12.2015;431.7;434.97;420.75;425.84;7717.51;3315825.43;429.65;434.702;422.0296667;426.6566667
31.12.2015;426.09;433.89;419.99;430.89;6634.86;2833319.7;427.04;433.787;424.1133333;427.74
01.01.2016;430.89;436;427.2;433.82;3788.11;1640577.93;433.09;433.354;426.6943333;429.9266667
02.01.2016;434.87;435.99;430.42;433.55;2972.06;1287773.39;433.29;432.668;429.041;431.14
03.01.2016;433.2;434.09;424.06;431.04;4571.1;1959152.6;428.6;430.169;431.325;431.66
04.01.2016;431.54;435.86;428.44;434.17;5717.6;2474772.5;432.83;428.097;433.164;431.5733333
05.01.2016;433.31;435.39;429.5;432.43;3881.72;1677111.44;432.05;428.611;434.4986667;431.16
06.01.2016;432.45;432.67;426.54;429.56;5507.61;2369036.46;430.14;429.701;435.752;431.6733333
07.01.2016;429.99;459.16;429.25;457;16833.42;7536413.29;447.71;432.093;437.3853333;436.6333333
08.01.2016;456.87;465;444.51;452.7;10258.99;4654977.99;453.75;434.815;438.6853333;443.8666667
09.01.2016;452.02;454;446.68;448.84;4396.05;1976929.79;449.71;436.821;439.8336667;450.39
10.01.2016;448.84;449.89;440.8;448.79;4078.61;1813405.06;444.61;438.578;440.0486667;449.3566667
11.01.2016;448.2;451.13;438;448;7986.46;3557149.61;445.4;439.809;440.4786667;446.5733333
12.01.2016;448;448;434.35;434.85;6930.9;3067862.76;442.64;440.744;440.731;444.2166667
13.01.2016;434.78;438.35;424.5;432.64;10067.02;4327468.86;429.87;440.871;440.3473333;439.3033333
14.01.2016;432.64;434;427;429.55;4420.91;1903623.77;430.6;440.648;439.527;434.37
15.01.2016;429.55;429.8;360;360;37326.7;14756284.24;395.33;436.976;437.551;418.6
16.01.2016;360.62;392.07;352;386.91;25019.25;9314016.2;372.27;431.189;434.8026667;399.4
17.01.2016;387.8;391.14;376;380.16;8416.94;3222126.45;382.81;424.699;432.2376667;383.47
18.01.2016;379.94;388.5;373.63;385.49;7015.53;2680282.37;382.05;417.529;429.5896667;379.0433333
19.01.2016;385.47;386.92;375.59;376.76;7223;2758289.78;381.88;410.746;427.423;382.2466667
20.01.2016;376.9;422.98;372.53;416.32;25172.92;10071637.71;400.1;406.295;426.22;388.01
21.01.2016;418.9;421.25;404.59;409.59;9414.56;3886595.68;412.83;403.038;425.4003333;398.27
22.01.2016;409.42;410.07;374.45;382.55;14744.76;5747610.6;389.81;397.755;423.7223333;400.9133333
23.01.2016;382.85;395;381.05;386.4;7664.89;2974351.32;388.05;393.573;421.5376667;396.8966667
24.01.2016;386.37;405.97;385.36;402.16;5448.85;2176476.21;399.44;390.457;419.734;392.4333333
25.01.2016;402.16;402.31;385.5;390.9;8040.83;3169083.78;394.12;390.336;418.641;393.87
26.01.2016;390.1;397.7;386.2;391.77;6589.15;2585992.59;392.46;392.355;417.7483333;395.34
27.01.2016;391.77;397;390.31;394.95;4262.63;1680905.77;394.34;393.508;416.7666667;393.64
28.01.2016;394.62;395.56;376;379.75;11414.05;4361450.24;382.11;393.514;415.286;389.6366667
29.01.2016;379.55;383.99;363.73;378.22;13544.15;5084544.75;375.41;392.867;413.478;383.9533333
30.01.2016;378.12;380.42;372.95;375.64;2587.11;975585.61;377.1;390.567;411.8133333;378.2066667
31.01.2016;376.38;379.3;364.7;368.49;4166.67;1559953.4;374.39;386.723;409.8566667;375.6333333
01.02.2016;368.49;378.2;366.53;371.81;7255.13;2703288;372.6;385.002;407.8336667;374.6966667
02.02.2016;371.79;375;369.73;373.05;5719.11;2133603.92;373.07;383.504;405.9826667;373.3533333
03.02.2016;373.05;374;365;368.38;7107.79;2631356.07;370.21;380.581;403.8953333;371.96
04.02.2016;368.4;391.88;367.95;387.82;13446.48;5138708.84;382.16;379.385;402.2323333;375.1466667
05.02.2016;388;389.5;382.99;385;7372.61;2854281.75;387.15;378.854;400.7993333;379.84
06.02.2016;384.97;384.98;371.35;375.39;5735.7;2159252.72;376.46;377.066;398.4243333;381.9233333
07.02.2016;375.39;380;373.04;375;2885.48;1084985.75;376.02;376.457;395.8333333;379.8766667
08.02.2016;375;378.99;369.99;370.91;6943.11;2599524.22;374.4;376.356;393.323;375.6266667
09.02.2016;370.95;377;369.12;373.2;5779.68;2157256.83;373.25;375.971;390.9443333;374.5566667
10.02.2016;373.69;383.85;372.12;379.66;10006.63;3792903.88;379.04;376.436;388.7323333;375.5633333
11.02.2016;379.34;380.5;373.54;377.98;7471.96;2820555.12;377.49;376.925;386.5606667;376.5933333
12.02.2016;377.98;383.48;377.07;383.27;5996.09;2285206.43;381.12;377.73;384.9356667;379.2166667
13.02.2016;383;390.99;382;390.99;7324.97;2836694.35;387.26;379.435;383.491;381.9566667
14.02.2016;390.99;406.71;390.59;405;9758.39;3887244.21;398.35;381.054;383.5916667;388.91
15.02.2016;405.5;409.71;393.4;399.28;7906.7;3178245.78;401.97;382.536;384.5816667;395.86
16.02.2016;399.5;407.8;396;407.51;8354.83;3372130.21;403.61;385.251;385.275;401.31
17.02.2016;407.51;421.11;404;415.54;11842.78;4915480.62;415.06;389.155;386.3753333;406.88
18.02.2016;415.59;424.9;413.4;421.18;8588.93;3610499.41;420.37;393.752;387.6583333;413.0133333
19.02.2016;421.15;422;414;419.54;5015.54;2101914.47;419.08;398.335;388.291;418.17
20.02.2016;419.98;443.96;419.5;434.63;11633.27;5037569.38;433.03;403.734;388.9643333;424.16
21.02.2016;434.63;447.99;426;438.5;10300.35;4513446.91;438.18;409.803;390.5766667;430.0966667
22.02.2016;438.33;439.5;431.15;438.27;5840.32;2550862.12;436.77;415.368;392.2006667;435.9933333
23.02.2016;438.26;440;414;419.1;10509.61;4460860.99;424.46;419.088;393.0346667;433.1366667
24.02.2016;419.1;424.28;409.07;423.78;7258.36;3044435.84;419.44;421.197;393.8786667;426.89
25.02.2016;423.79;426.75;415.79;423.51;5597.97;2361226.42;421.8;423.18;394.8566667;421.9
26.02.2016;423.38;432;418.01;432;4635.12;1965128.87;423.97;425.216;395.8443333;421.7366667
27.02.2016;432;435;428.22;431.07;4159.36;1794059.03;431.33;426.843;397.485;425.7
28.02.2016;431.07;435;422.29;431.68;3501.19;1503570.39;429.45;427.751;399.2863333;428.25
29.02.2016;430.26;440.99;428.12;435.23;8463.35;3688136.64;435.78;429.421;401.2423333;432.1866667
01.03.2016;436.75;437.5;427.01;432.5;6941.52;2999990.2;432.18;429.336;403.1686667;432.47
02.03.2016;433.33;434.5;421.31;423.45;5788.38;2484758.41;429.27;428.445;405.0576667;432.41
03.03.2016;422.4;424.47;415.85;420.29;7483.65;3144344.87;420.16;426.784;406.6273333;427.2033333
04.03.2016;420.29;423.9;406.02;408.01;7789;3242408.24;416.28;425.966;408.163;421.9033333
05.03.2016;408.18;408.98;382;399.83;16436.4;6542504.74;398.05;423.827;408.6926667;411.4966667
06.03.2016;399.77;412.31;393.11;406.23;5692.01;2305615.94;405.06;422.153;409.2896667;406.4633333
07.03.2016;406.15;414.96;403.03;414.01;5937.73;2435455.25;410.17;420.773;410.4133333;404.4266667
08.03.2016;413.96;414.99;408.46;411.75;5576.26;2294301.55;411.44;418.784;411.594;408.89
09.03.2016;412.14;413.51;408.75;413;4876.79;2006337.15;411.41;416.98;412.8276667;411.0066667
10.03.2016;412.99;416.9;409.31;416;5255.3;2172818.96;413.45;414.747;414.1676667;412.1
11.03.2016;416;421.91;415.11;419.13;5950.81;2495505.29;419.36;413.465;415.5116667;414.74
12.03.2016;419.14;420.93;406.59;410.9;4640.49;1916201.04;412.93;411.831;416.693;415.2466667
13.03.2016;409.95;417;409.67;413.04;3286.87;1357510.22;413.01;411.116;417.756;415.1
14.03.2016;412.99;415.22;410.5;414.99;4470.79;1848804.29;413.53;410.841;418.6316667;413.1566667
15.03.2016;414.83;417.43;412.15;415.85;4569.88;1898781.06;415.5;412.586;419.2033333;414.0133333
16.03.2016;415.84;416.82;413.15;416.57;4100.48;1702108.56;415.1;413.59;419.641;414.71
17.03.2016;416.52;419;415.66;418.49;3704.16;1548743.03;418.11;414.384;420.1243333;416.2366667
18.03.2016;418.47;418.49;403.34;407.91;6391.25;2620535.28;410.02;414.242;419.9563333;414.41
19.03.2016;407.5;409.95;404.1;409.04;2870.25;1167962.94;406.92;413.793;419.508;411.6833333
20.03.2016;408.36;412;406.6;411.28;2579;1057230.7;409.94;413.442;419.2033333;408.96
21.03.2016;410.62;411.96;406.5;411.67;3546.28;1451351.16;409.26;412.432;418.411;408.7066667
22.03.2016;411.15;416.99;410.35;416.64;3950.16;1638956.4;414.91;412.63;417.6353333;411.37
23.03.2016;416.39;419;413.44;417.62;4946.4;2059556.01;416.38;412.967;416.9556667;413.5166667
24.03.2016;417.62;418.15;412.85;415.17;2776.61;1155165.75;416.03;413.217;416.6746667;415.7733333
25.03.2016;415.17;416.92;412;415.7;2588.78;1074765.82;415.16;413.183;416.532;415.8566667
26.03.2016;415.6;416.99;414;416.96;1253.01;521077.51;415.86;413.259;416.334;415.6833333
27.03.2016;416.96;427.99;415.77;424.77;5038.88;2135073.92;423.72;413.82;416.3256667;418.2466667
28.03.2016;424.62;424.77;420.32;422.87;3283.79;1388121.95;422.72;415.09;416.0386667;420.7666667
29.03.2016;422.87;424.37;407.22;415.95;5955;2473866.21;415.43;415.941;415.5713333;420.6233333
30.03.2016;415.43;415.93;408.59;413.74;4824.85;1990559.5;412.56;416.203;414.7973333;416.9033333
31.03.2016;413.68;416.99;411.4;414.66;3774.42;1566080.97;414.92;416.769;414.222;414.3033333
01.04.2016;414.66;416.99;413.42;416.31;3736.77;1552890.07;415.57;416.835;413.7653333;414.35
02.04.2016;416.31;420;416.01;419;2072.95;867252.47;418.37;417.034;413.7056667;416.2866667
03.04.2016;419.35;419.48;416.1;419.11;1337.67;558989.71;417.88;417.219;413.759;417.2733333
04.04.2016;418.51;419.85;416;418.75;3457.56;1445848.18;418.17;417.52;414.4296667;418.14
05.04.2016;418.81;423;416.61;422.71;3956.56;1665558.65;420.96;418.03;414.9596667;419.0033333
06.04.2016;422.71;422.9;420;421.03;2396.35;1010238.99;421.57;417.815;415.3396667;420.2333333
07.04.2016;420.62;421.99;418.09;420;3216.81;1352741.71;420.52;417.595;415.6423333;421.0166667
08.04.2016;419.99;423.99;416.26;417.75;4584.13;1928359.91;420.66;418.118;415.9506667;420.9166667
09.04.2016;417.75;418.71;412;418.24;3599.4;1497170.37;415.95;418.457;416.034;419.0433333
10.04.2016;418.59;421.79;417.2;420.04;1779.83;746886.33;419.64;418.929;416.0433333;418.75
11.04.2016;420.4;422.8;418;422.69;3487.83;1467164.56;420.65;419.437;416.3006667;418.7466667
12.04.2016;422.79;426.67;421;425.54;6082.73;2581942.43;424.47;420.047;416.6826667;421.5866667
13.04.2016;425.32;426;422.27;423.93;3917.08;1661013.31;424.04;420.663;417.033;423.0533333
14.04.2016;423.6;425.35;420.57;424.86;3863.8;1637346.08;423.77;421.223;417.3086667;424.0933333
15.04.2016;424.4;430;423.07;429.45;4406.24;1883221.87;427.4;421.867;417.7186667;425.07
16.04.2016;429.29;432.87;381.47;430.69;1848.39;794725.23;429.95;422.705;418.1133333;427.04
17.04.2016;430.18;430.91;377.87;427.42;1502.86;642520.65;427.53;423.406;418.697;428.2933333
18.04.2016;427.15;430.01;425.8;428.14;3180.43;1359481.31;427.45;424.085;419.3813333;428.31
19.04.2016;428.14;436.82;426.24;435.63;3798.24;1634274.11;430.27;425.517;420.059;428.4166667
20.04.2016;435.7;444;433.11;442.13;7602.65;3334632.03;438.61;427.414;421.0373333;432.11
21.04.2016;441.99;452.11;440;451;5421.16;2417983.8;446.03;429.952;422.0746667;438.3033333
22.04.2016;451;451.36;442.96;447.7;5494.44;2458441.08;447.44;432.249;423.11;444.0266667
23.04.2016;447.16;452.19;444.46;451.92;2250.04;1008095.22;448.04;434.649;424.177;447.17
24.04.2016;451.92;470.02;447.06;460.02;7103.31;3252973.56;457.95;438.067;425.6033333;451.1433333
25.04.2016;460.03;469.47;455.13;462.33;5607.19;2589826.88;461.88;441.515;427.1373333;455.9566667
26.04.2016;462.29;469.87;462.13;467.42;4629.19;2154820.59;465.49;445.069;428.5296667;461.7733333
27.04.2016;467.39;469.03;443.2;445.38;7084.24;3233410.84;456.42;447.958;429.653;461.2633333
28.04.2016;445.39;451;435;449.14;8736.26;3884773.45;444.67;449.68;430.6276667;455.5266667
29.04.2016;449.94;456.53;445.62;456.53;2982.54;1347430.83;451.77;451.83;431.9346667;450.9533333
30.04.2016;456.53;456.9;446.5;448.37;2419.58;1091522.44;451.12;453.081;433.1413333;449.1866667
01.05.2016;448.43;453.78;446.84;453;1190.7;537276.06;451.23;453.601;434.33;451.3733333
02.05.2016;452.99;453.8;438.59;444.06;6362.93;2824163.35;443.85;453.242;435.1793333;448.7333333
03.05.2016;444.06;452;440.78;450.61;5576.91;2496652.81;447.68;453.206;436.1726667;447.5866667
04.05.2016;451.18;451.68;444.15;446.63;3327.61;1488189.72;447.23;452.134;437.1413333;446.2533333
05.05.2016;447.36;449;445.11;446;892.44;399195.45;447.31;450.677;438.0196667;447.4066667
